Location,Latitude,Longitude,Time,Temp_F
ELY MN,47.903237,-91.867087,2023-08-04 21:08:42,66.02
Death Valley CA,36.5323,-116.93,2023-08-04 21:08:43,107.42
Maryville MO,40.346102,-94.872471,2023-08-04 21:08:43,72.63
Milan MO,40.2,-93.15,2023-08-04 21:08:43,75.13
ELY MN,47.903237,-91.867087,2023-08-04 21:09:43,66.02
Death Valley CA,36.5323,-116.93,2023-08-04 21:09:43,107.42
Maryville MO,40.346102,-94.872471,2023-08-04 21:09:44,72.63
Milan MO,40.2,-93.15,2023-08-04 21:09:44,75.13
ELY MN,47.903237,-91.867087,2023-08-04 21:10:44,66.02
Death Valley CA,36.5323,-116.93,2023-08-04 21:10:44,107.42
Maryville MO,40.346102,-94.872471,2023-08-04 21:10:44,72.63
Milan MO,40.2,-93.15,2023-08-04 21:10:45,75.13
